node_id,aar,sesong,del,oppgavenummer,url
skissere-naeringsnett-fra-feltarbeid,2026,vår,1,1a1,
tilpasning-til-miljofaktor,2026,vår,1,1a2,
forklare-fordel-nitrogenfikserende-symbiose,2026,vår,1,1b1,
vurdere-forvaltningstiltak,2026,vår,1,1b2,
sammenligne-hemmertyper,2026,vår,1,1c,
tylakoid-tylakoidmembran,2026,vår,1,1d1,
stroma-kloroplast,2026,vår,1,1d1,
lysreaksjonene-fotosyntese,2026,vår,1,1d2,
formulere-hypotese,2026,vår,1,2-1,
tolke-enzymkinetikk-grafer,2026,vår,1,2-2,
lysreaksjonene-fotosyntese,2026,vår,1,2-3,
okologisk-bareevne,2026,vår,1,2-4,
skissere-og-forklare-energistrom,2026,vår,1,2-4,
oksidativ-fosforylering,2026,vår,1,2-5,
faktorer-som-pavirker-fotosyntesehastighet,2026,vår,1,2-6,
gjore-rede-for-aerob-cellending,2026,vår,1,2-7,
forklare-anaerob-cellending,2026,vår,1,2-7,
ikke-kodende-dna,2026,vår,1,2-8,
transkripsjon,2026,vår,1,2-9,
kloroplast,2026,vår,1,2-10,
mitokondrium,2026,vår,1,2-10,
analysere-stamtre,2026,vår,1,2-11,
krysningsskjema-dihybrid,2026,vår,1,2-12,
kjonnsbundet-arv,2026,vår,1,2-12,
forklare-konsekvens-av-mutasjon,2026,vår,1,2-13,
crispr-cas9,2026,vår,1,2-13,
markorgen,2026,vår,1,2-14,
vurdere-forvaltningstiltak,2026,vår,1,2-15,
tolke-okologiske-pyramider,2026,vår,1,2-16,
vurdere-drift-og-genflyt-effekt-pa-variasjon,2026,vår,1,2-17,
tolke-seleksjonstype-fra-figur,2026,vår,1,2-18,
naturlig-seleksjon,2026,vår,1,2-19,
tolke-fylogenetisk-tre,2026,vår,1,2-20,
vurdere-forsoksdesign,2026,vår,2,3a,
interspesifikk-konkurranse,2026,vår,2,3b,
tolke-data-vurdere-hypotese,2026,vår,2,3b,
transkripsjonsfaktor,2026,vår,2,4a,
beregne-allelfrekvens-hardy-weinberg,2026,vår,2,4b1,
beregne-allelfrekvens-hardy-weinberg,2026,vår,2,4b2,
krysningsskjema-dihybrid,2026,vår,2,4c,
naturlig-seleksjon,2026,vår,2,4d,
tolke-data-vurdere-hypotese,2026,vår,2,4d,
transformasjon-bakterier,2026,vår,2,5a1,
transformasjon-bakterier,2026,vår,2,5a2,
gelelektroforese,2026,vår,2,5b,
tolke-og-skissere-vekstkurver,2026,vår,2,5c,
gjore-rede-for-aerob-cellending,2026,vår,2,5d,
forklare-konsekvens-av-mutasjon,2026,vår,2,5e,
tolke-og-skissere-vekstkurver,2026,vår,2,5e,
skissere-naeringsnett-fra-feltarbeid,2025,vår,1,1a1,
skissere-og-forklare-energistrom,2025,vår,1,1a2,
genterapi,2025,vår,1,1b,
drofte-etisk-problemstilling-genteknologi,2025,vår,1,1b,
sammenligne-energiomdanning-fotosyntese-cellending,2025,vår,1,1c,
naturlig-seleksjon,2025,vår,1,1d,
r-selektert-art,2025,vår,1,2-1,
guide-rna,2025,vår,1,2-2,
forklare-regulering-av-populasjonsstorrelse,2025,vår,1,2-3,
nitrogenkretslop,2025,vår,1,2-4,
eutrofiering,2025,vår,1,2-5,
karbonkretslop,2025,vår,1,2-6,
krebssyklus,2025,vår,1,2-7,
mitokondriemembran-og-matriks,2025,vår,1,2-8,
tolke-enzymkinetikk-grafer,2025,vår,1,2-9,
konkurrerende-hemmer,2025,vår,1,2-10,
calvinsyklusen,2025,vår,1,2-11,
spleising-pre-mrna,2025,vår,1,2-12,
translasjon,2025,vår,1,2-13,
kodominans,2025,vår,1,2-14,
forklare-konsekvens-av-mutasjon,2025,vår,1,2-15,
analysere-stamtre,2025,vår,1,2-16,
sammenligne-artsdannelsesmekanismer,2025,vår,1,2-17,
prezygotisk-barriere,2025,vår,1,2-17,
seleksjon-drift-genflyt-i-hardy-weinberg,2025,vår,1,2-18,
tolke-seleksjonstype-fra-figur,2025,vår,1,2-19,
sammenligne-artsdannelsesmekanismer,2025,vår,1,2-20,
forklare-anaerob-cellending,2025,vår,2,3a,
forklare-temperaturpavirkning-cellending,2025,vår,2,3b,
forklare-regulering-av-populasjonsstorrelse,2025,vår,2,4a,
naeringsnett,2025,vår,2,4b,
vurdere-drift-og-genflyt-effekt-pa-variasjon,2025,vår,2,4c,
dna-profil,2025,vår,2,4d,
krysningsskjema-dihybrid,2025,vår,2,4e,
forklare-temperatur-ph-pavirkning-enzym,2025,vår,2,5a,
kopiantallsvariasjon,2025,vår,2,5b1,
kopiantallsvariasjon,2025,vår,2,5b2,
tolke-data-vurdere-hypotese,2025,vår,2,5c,
forklare-mutasjon-i-regulatorisk-omrade,2025,vår,2,5d,
planlegge-feltarbeid-datainnsamling,2025,høst,1,1a1,
tilpasning-til-miljofaktor,2025,høst,1,1a2,
tolke-data-vurdere-hypotese,2025,høst,1,1a2,
eksempel-genteknologi-i-matproduksjon,2025,høst,1,1b,
drofte-etisk-problemstilling-genteknologi,2025,høst,1,1b,
faktorer-som-pavirker-fotosyntesehastighet,2025,høst,1,1c,
skissere-og-forklare-stoffkretslop,2025,høst,1,1d,
tolke-data-vurdere-hypotese,2025,høst,1,2-1,
tolke-enzymkinetikk-grafer,2025,høst,1,2-2,
lysreaksjonene-fotosyntese,2025,høst,1,2-3,
mitokondriemembran-og-matriks,2025,høst,1,2-4,
transkripsjon,2025,høst,1,2-5,
forklare-konsekvens-av-mutasjon,2025,høst,1,2-5,
tolke-tvillingstudier,2025,høst,1,2-6,
koblede-gener,2025,høst,1,2-7,
krysningsskjema-dihybrid,2025,høst,1,2-7,
analysere-stamtre,2025,høst,1,2-8,
transkripsjon,2025,høst,1,2-9,
translasjon,2025,høst,1,2-10,
gelelektroforese,2025,høst,1,2-11,
analysere-stamtre,2025,høst,1,2-11,
vektor-genteknologi,2025,høst,1,2-12,
crispr-cas9,2025,høst,1,2-12,
overfore-gen-til-eukaryot-celle,2025,høst,1,2-13,
vurdere-forvaltningstiltak,2025,høst,1,2-14,
forklare-regulering-av-populasjonsstorrelse,2025,høst,1,2-15,
tetthetsuavhengig-faktor,2025,høst,1,2-15,
tetthetsavhengig-faktor,2025,høst,1,2-16,
intraspesifikk-konkurranse,2025,høst,1,2-16,
skissere-og-forklare-energistrom,2025,høst,1,2-17,
tolke-seleksjonstype-fra-figur,2025,høst,1,2-18,
flaskehalseffekt,2025,høst,1,2-19,
beregne-allelfrekvens-hardy-weinberg,2025,høst,1,2-20,
forklare-anaerob-cellending,2025,høst,2,3a,
forklare-temperaturpavirkning-cellending,2025,høst,2,3b,
elektrontransportkjede,2025,høst,2,3b,
substrat,2025,høst,2,4a1,
forklare-konsekvens-av-mutasjon,2025,høst,2,4b,
analysere-stamtre,2025,høst,2,4c,
krysningsskjema-dihybrid,2025,høst,2,4d,
naeringsnett,2025,høst,2,5a,
skissere-og-forklare-energistrom,2025,høst,2,5a,
tolke-og-skissere-vekstkurver,2025,høst,2,5b,
eutrofiering,2025,høst,2,5c,
sammenligne-artsdannelsesmekanismer,2025,høst,2,5d,
vurdere-hypotese-om-slektskap-fra-data,2025,høst,2,5e,
gjennomfore-feltarbeid-artsmangfold,2024,vår,1,1a,
formulere-hypotese,2024,vår,1,1b1,
designe-og-utvide-enzymforsok,2024,vår,1,1b2,
drofte-interessekonflikt-forvaltning,2024,vår,1,1c,
crispr-cas9,2024,vår,1,1d,
vurdere-forsoksdesign,2024,vår,1,2-1,
forklare-anaerob-cellending,2024,vår,1,2-2,
tolke-og-skissere-vekstkurver,2024,vår,1,2-3,
naeringsnett,2024,vår,1,2-4,
tolke-okologiske-pyramider,2024,vår,1,2-4,
skissere-og-forklare-energistrom,2024,vår,1,2-5,
calvinsyklusen,2024,vår,1,2-6,
krebssyklus,2024,vår,1,2-6,
forklare-negativ-tilbakekobling-reaksjonsvei,2024,vår,1,2-7,
sammenligne-hemmertyper,2024,vår,1,2-8,
tolke-fotosynteseforsok,2024,vår,1,2-9,
gjore-rede-for-aerob-cellending,2024,vår,1,2-10,
forklare-anaerob-cellending,2024,vår,1,2-11,
forklare-konsekvens-av-mutasjon,2024,vår,1,2-12,
genregulering,2024,vår,1,2-13,
analysere-stamtre,2024,vår,1,2-14,
krysningsskjema-dihybrid,2024,vår,1,2-15,
polygen-egenskap-flere-gener,2024,vår,1,2-15,
genterapi,2024,vår,1,2-16,
gendiagnostikk,2024,vår,1,2-17,
genmodifisert-organisme,2024,vår,1,2-17,
gelelektroforese,2024,vår,1,2-17,
pcr,2024,vår,1,2-17,
tolke-seleksjonstype-fra-figur,2024,vår,1,2-18,
flaskehalseffekt,2024,vår,1,2-19,
tolke-fylogenetisk-tre,2024,vår,1,2-20,
prezygotisk-barriere,2024,vår,1,2-20,
sammenligne-artsdannelsesmekanismer,2024,vår,2,3a,
sammenligne-artsdannelsesmekanismer,2024,vår,2,3b,
forklare-mutasjon-i-regulatorisk-omrade,2024,vår,2,3c,
