node_id,aar,sesong,del,oppgavenummer,url
usikkerhet-sammensatte-storrelser,2026,vår,1,1a,
newtons-lover-repetisjon,2026,vår,1,1b,
akselerasjon-med-luftmotstand-i-kast,2026,vår,1,1c,
fullfore-ufullstendig-kode,2026,vår,1,1c,
system-med-to-masser-snor-trinse,2026,vår,1,1d,
vertikal-sirkelbevegelse-vilkarlig-punkt,2026,vår,1,1e,
kjeglependel-og-dobbel-snor-pendel,2026,vår,1,1f,
horisontal-sirkelbevegelse-med-normalkraft,2026,vår,1,1g,
vertikal-sirkelbevegelse-vilkarlig-punkt,2026,vår,1,1h,
skratt-kast-uten-luftmotstand,2026,vår,1,1i,
beregne-g-for-himmellegeme,2026,vår,1,1j,
ellipsebane-fart-og-energi,2026,vår,1,1k,
vurdere-magnetfelt-fra-figur,2026,vår,1,1l,
vurdere-magnetfelt-fra-figur,2026,vår,1,1m,
vurdere-magnetfelt-fra-figur,2026,vår,1,1n,
bestemme-retning-pa-indusert-strom,2026,vår,1,1o,
bestemme-retning-pa-indusert-strom,2026,vår,1,1p,
bevegelses-ems-leder-pa-skinner,2026,vår,1,1p,
tidsdilatasjon,2026,vår,1,1q,
avgjore-akselerasjon-vs-gravitasjon,2026,vår,1,1r,
tolke-bolgefunksjon-grafisk,2026,vår,1,1s,
tolke-graf-fotoelektrisk-effekt,2026,vår,1,1t,
vurdere-pastander-om-generell-relativitet,2026,vår,1,2a,
comptoneffekt-begrep,2026,vår,1,2b,
kombinere-to-samtidige-kastbevegelser,2026,vår,1,2c,
avvik-fra-ideell-transformator,2026,vår,2,3b,
friksjon-og-skraplan,2026,vår,2,4a,
kombinert-skraplan-og-loop-bane,2026,vår,2,4b,
vertikal-sirkelbevegelse-topp-og-bunn,2026,vår,2,4b,
tolke-kraftmaler-graf-i-loopbane,2026,vår,2,4c,
tolke-kraftmaler-graf-i-loopbane,2026,vår,2,4d,
numerisk-simulering-av-bane-i-gravitasjonsfelt,2026,vår,2,5a,
lese-og-forklare-pythonkode,2026,vår,2,5a,
energibevaring-i-sentralfelt,2026,vår,2,5b,
numerisk-simulering-av-bane-i-gravitasjonsfelt,2026,vår,2,5c,
kraft-og-akselerasjon-pa-ladning-i-e-felt,2026,vår,2,6a,
