node_id,aar,sesong,del,oppgavenummer,url
rx-bestemme-oksidasjonstall,2026,vår,1,1a,
rx-identifisere-oks-red-middel,2026,vår,1,1b,
rx-beregne-cellespenning,2026,vår,1,1c,
rx-beregne-cellespenning,2026,vår,1,1d,
rx-vurdere-spontanitet-redoks,2026,vår,1,1d,
rx-korrosjon-begrep,2026,vår,1,1e,
lk-forutsi-likevektsforskyvning,2026,vår,1,1f,
lk-forutsi-likevektsforskyvning,2026,vår,1,1g,
sp-temperaturens-betydning-for-spontanitet,2026,vår,1,1g,
ka-forklare-katalysatoreffekt,2026,vår,1,1g,
sp-vurdere-spontanitet,2026,vår,1,1g,
ka-aktivt-sete-begrep,2026,vår,1,1h,
or-polymer-begrep,2026,vår,1,1i,
or-forklare-polymerisasjon,2026,vår,1,1i,
kr-tolke-kromatogram,2026,vår,1,1j,
lo-loselighetsprodukt-begrep,2026,vår,1,1k,
lo-felles-ioneffekt-begrep,2026,vår,1,1l,
bm-nukleinsyre-begrep,2026,vår,1,2a,
rx-elektrolysecelle-begrep,2026,vår,1,2b,
sb-beregne-ph-sterk-syre-base,2026,vår,1,3,
lo-vurdere-felling,2026,vår,1,3,
rx-identifisere-oks-red-middel,2026,vår,1,4a,
lo-vurdere-felling,2026,vår,1,4b,
or-kondensasjon-begrep,2026,vår,1,5a,
lk-beregne-k,2026,vår,1,5b,
sy-beregne-prosentvis-utbytte,2026,vår,1,5c,
sp-entropi-begrep,2026,vår,2,6a,
sp-beregne-fri-energi,2026,vår,2,6b,
rx-gibbs-og-cellespenning,2026,vår,2,6c,
sb-beregne-ph-svak-syre-base,2026,vår,2,7a,
sb-beregne-ph-buffer,2026,vår,2,7b,
or-forklare-reaksjonsmekanisme,2026,vår,2,7c,
or-elektrofil-nukleofil-begrep,2026,vår,2,7c,
sb-titrering-begrep,2026,vår,2,8a,
rx-identifisere-oks-red-middel,2026,vår,2,8a,
rx-identifisere-oks-red-middel,2026,vår,2,8b,
kf-vurdere-usikkerhet,2026,vår,2,8c,
kf-planlegge-forsok,2026,vår,2,8c,
or-identifisere-reaksjonstype,2026,vår,2,9,
kr-tolke-kromatogram,2026,vår,2,9,
sy-beregne-prosentvis-utbytte,2026,vår,2,9,
gk-beregne-atomeffektivitet,2026,vår,2,9,
gk-drofte-tiltak,2026,vår,2,9,
sb-beregne-ph-sterk-syre-base,2025,vår,1,1a,
sb-forklare-bufferkapasitet,2025,vår,1,1b,
rx-bestemme-oksidasjonstall,2025,vår,1,1c,
rx-identifisere-oks-red-middel,2025,vår,1,1d,
sy-beregne-prosentvis-utbytte,2025,vår,1,1e,
or-eliminasjon-begrep,2025,vår,1,1e,
sy-gjennomfore-syntese,2025,vår,1,1f,
or-polymer-begrep,2025,vår,1,1g,
or-identifisere-reaksjonstype,2025,vår,1,1h,
lk-vurdere-retning-med-q,2025,vår,1,1i,
lk-tolke-konsentrasjon-tid-graf,2025,vår,1,1j,
sb-tolke-titreringskurve,2025,vår,1,1k,
or-forklare-reaksjonsmekanisme,2025,vår,1,1l,
or-karbokation-begrep,2025,vår,1,1l,
ka-forklare-katalysatoreffekt,2025,vår,1,1l,
or-bruke-markovnikov,2025,vår,1,2a,
or-karbokation-begrep,2025,vår,1,2a,
kr-tolke-kromatogram,2025,vår,1,2b,
rx-balansere-redoks-halvreaksjoner,2025,vår,1,3,
rx-beregne-batterikapasitet,2025,vår,1,3,
lk-beregne-likevektskonsentrasjoner,2025,vår,1,4a,
lk-sette-opp-k-uttrykk,2025,vår,1,4b,
lk-beregne-k,2025,vår,1,4b,
lk-forutsi-likevektsforskyvning,2025,vår,1,4c,
rx-elektrolysecelle-begrep,2025,vår,1,5a,
rx-elektrolysecelle-begrep,2025,vår,1,5b,
bm-beskrive-oppbygning,2025,vår,2,6a,
bm-forklare-sekundarstruktur,2025,vår,2,6b,
rx-identifisere-oks-red-middel,2025,vår,2,6c,
ka-betydning-i-prosesser,2025,vår,2,6c,
or-hydrolyse-begrep,2025,vår,2,7a,
sb-beregne-ph-svak-syre-base,2025,vår,2,7b,
sb-buffer-begrep,2025,vår,2,7c,
sb-beregne-ph-buffer,2025,vår,2,7c,
kf-vurdere-usikkerhet,2025,vår,2,8a,
kf-vurdere-usikkerhet,2025,vår,2,8b,
lo-vurdere-felling,2025,vår,2,8c,
gk-drofte-tiltak,2025,vår,2,9,
sp-beregne-fri-energi,2025,vår,2,9,
sp-temperaturens-betydning-for-spontanitet,2025,vår,2,9,
sy-faktorer-utbytte-renhet,2025,vår,2,9,
sb-beregne-ph-sterk-syre-base,2025,høst,1,1a,
rx-standardpotensial-begrep,2025,høst,1,1b,
sb-syre-base-begrep,2025,høst,1,1c,
sb-beregne-ph-buffer,2025,høst,1,1d,
lk-sette-opp-k-uttrykk,2025,høst,1,1e,
lo-loselighetsprodukt-begrep,2025,høst,1,1f,
or-polymer-begrep,2025,høst,1,1g,
or-identifisere-reaksjonstype,2025,høst,1,1h,
or-identifisere-reaksjonstype,2025,høst,1,1i,
