node_id,aar,sesong,del,oppgavenummer,url
lese-av-diagram-verdier,2026,vår,1,1a,
lese-av-diagram-verdier,2026,vår,1,1b,
finne-prosentvis-endring-10,2026,vår,1,2a,
finne-prosentvis-endring-10,2026,vår,1,2b,
generalisere-og-bevise-tallmonster,2026,vår,1,3a,
generalisere-og-bevise-tallmonster,2026,vår,1,3b,
omraderelasjon-ved-skalering,2026,vår,1,4,
lage-ligningssett-fra-praktisk-situasjon,2026,vår,1,5,
stigningstall-lineaer-funksjon-10,2026,vår,1,6,
bruke-komplementregelen,2026,vår,1,7a,
sannsynlighet-uavhengige-hendelser-10,2026,vår,1,7b,
lese-og-forklare-python-kode,2026,vår,1,8a,
vekstfaktor-og-eksponentialfunksjon,2026,vår,1,8b,
bruke-formlikhet-ukjent-lengde-10,2026,vår,1,9,
konstruere-datasett-fra-mal,2026,vår,1,10,
sette-opp-arealuttrykk-med-variabler,2026,vår,1,11,
regne-ut-sentralmal-og-spredningsmal-10,2026,vår,2,1a,
lage-passende-diagram-for-data,2026,vår,2,1b,
argumentere-med-tallframstilling-10,2026,vår,2,1b,
sammenligne-enhetspris-med-tilbud,2026,vår,2,2,
tegne-og-sammenligne-funksjonstyper-digitalt,2026,vår,2,3a,
sammenligne-lineaer-og-eksponentiell-vekst,2026,vår,2,3b,
lage-ligningssett-fra-praktisk-situasjon,2026,vår,2,4,
evaluere-lineaer-modell-oppgitt-uttrykk,2026,vår,2,5a,
bygge-modell-med-definisjonsomrade,2026,vår,2,5b,
generalisere-tallpuslespill-algebraisk,2026,vår,2,6a,
generalisere-tallpuslespill-algebraisk,2026,vår,2,6b,
lage-ligningssett-fra-praktisk-situasjon,2024,vår,1,1,
generalisere-og-bevise-tallmonster,2024,vår,1,2,
argumentere-med-tallframstilling-10,2024,vår,1,3,
lese-av-diagram-verdier,2024,vår,1,3,
stigningstall-lineaer-funksjon-10,2024,vår,1,4,
vurdere-annen-losning-prosent,2024,vår,1,5,
foresla-mal-og-beregne-volum,2024,vår,1,6,
utforske-kvadratsetning-geometrisk,2024,vår,1,7,
argumentere-med-tallframstilling-10,2024,vår,2,1,
kjennetegn-funksjonstyper,2024,vår,2,2a,
tegne-og-sammenligne-funksjonstyper-digitalt,2024,vår,2,2a,
beskrive-praktisk-situasjon-for-funksjonsuttrykk,2024,vår,2,2b,
fullfore-regneark-lan-rente-gebyr,2024,vår,2,3a,
beregne-effektiv-rente,2024,vår,2,3b,
sannsynlighet-uten-tilbakelegging,2024,vår,2,4,
sammenligne-lineaer-og-eksponentiell-vekst,2024,vår,2,5,
lese-og-forklare-python-kode,2024,vår,2,6a,
koble-kode-til-matematisk-sammenheng,2024,vår,2,6b,
generalisere-tallpuslespill-algebraisk,2024,vår,2,7,
planlegge-utforskende-arbeid-okonomi,2024,vår,2,8,
regne-ut-sentralmal-og-spredningsmal-10,2024,vår,2,8,
sammensatte-enheter-repetisjon-10,2024,vår,2,8,
