node_id,aar,sesong,del,oppgavenummer,url
prosent-av-tall,2026,vår,1,1,
gjennomsnittlig-forbruk-per-periode,2026,vår,1,2,
store-tall-praktisk,2026,vår,1,3,
fylle-ut-omvendt-proporsjonal-tabell,2026,vår,1,4,
sammenligne-tall-storrelse,2026,vår,1,5,
sammensatt-vekstfaktor,2026,vår,1,6,
sammensatt-vekstfaktor,2026,vår,1,7,
regne-med-tetthet,2026,vår,1,8,
sette-opp-lineaer-modell-tekst,2026,vår,1,9,
lose-likning-med-lineaer-modell,2026,vår,1,9,
generalisere-tallfolge-formel,2026,vår,1,10,
kvadratisk-kostnadsmodell,2026,vår,1,11,
avgjore-proporsjonalitet,2026,vår,1,12,
koble-kode-til-matematisk-modell,2026,vår,1,13,
optimere-med-graf,2026,vår,2,1,
regne-prosentpoeng-og-prosent,2026,vår,2,2,
sette-opp-eksponentiell-modell,2026,vår,2,3,
sammenligne-modeller-grafisk,2026,vår,2,3,
justere-modell-for-grensebetingelse,2026,vår,2,3,
regne-med-energi-kwh,2026,vår,2,4,
regne-med-fart,2025,høst,1,1,
prosent-av-tall,2025,høst,1,2,
store-tall-praktisk,2025,høst,1,3,
volum-pyramide,2025,høst,1,4,
avgjore-proporsjonalitet,2025,høst,1,4,
stigningstall-fra-graf,2025,høst,1,5,
lose-likning-med-lineaer-modell,2025,høst,1,5,
sammenligne-modeller-grafisk,2025,høst,1,6,
koble-kode-til-matematisk-modell,2025,høst,1,7,
bestemme-potensmodell-fra-tabell,2025,høst,2,1,
tolke-graf-form,2025,høst,2,2,
finne-totalen-fra-prosentdel,2025,høst,2,3,
regne-med-valuta-omregning,2025,høst,2,4,
reversere-prosentendring,2025,høst,2,5,
omkrets-jorda-fra-breddegrad,2025,høst,2,6,
areal-omkrets-sammensatt-figur,2025,høst,2,7,
losse-formel-for-annen-variabel,2025,høst,2,7,
optimere-med-graf,2025,høst,2,7,
prosentvis-endring-to-tall,2025,vår,1,1,
regne-prosentpoeng-og-prosent,2025,vår,1,2,
illustrere-proporsjonalitet-graf,2025,vår,1,3,
utforske-standardform-produkt,2025,vår,1,4,
addere-tall-standardform,2025,vår,1,5,
generalisere-tallfolge-formel,2025,vår,1,6,
koble-kode-til-matematisk-modell,2025,vår,1,7,
lese-og-tolke-kode-med-lokke,2025,vår,1,7,
stigningstall-fra-graf,2025,vår,1,8,
vise-at-modell-passer-data,2025,vår,2,1a,
tolke-eksponentiell-modell-parametre,2025,vår,2,1b,
sekant-stigningstall-ikke-lineaer,2025,vår,2,1c,
eksponentiell-modell-begrep,2025,vår,2,1d,
hente-og-bruke-tall-fra-kilde,2025,vår,2,2,
sammenligne-lineaere-tilbud,2025,vår,2,3,
finne-totalen-fra-prosentdel,2025,vår,2,4,
regne-ut-enhetspris,2025,vår,2,5,
losse-formel-for-annen-variabel,2025,vår,2,6a,
optimere-med-graf,2025,vår,2,6b,
regne-med-antakelser-apen-oppgave,2025,vår,2,7,
prosentvis-endring-to-tall,2024,høst,1,1,
tall-standardform-om,2024,høst,1,2a,
store-tall-praktisk,2024,høst,1,2b,
avgjore-proporsjonalitet,2024,høst,1,3,
koble-kode-til-matematisk-modell,2024,høst,1,4a,
lese-og-tolke-kode-med-lokke,2024,høst,1,4b,
stigningstall-fra-graf,2024,høst,1,5a,
lose-likning-med-lineaer-modell,2024,høst,1,5b,
funksjonsbegrep-generelt,2024,høst,2,1a,
sekant-stigningstall-ikke-lineaer,2024,høst,2,1b,
sette-opp-eksponentiell-modell,2024,høst,2,1c,
sammenligne-modeller-grafisk,2024,høst,2,1c,
bruke-sammensatt-rate-i-flere-steg,2024,høst,2,2,
sammensatt-vekstfaktor,2024,høst,2,3,
formelbruk-begrep,2024,høst,2,4a,
losse-formel-for-annen-variabel,2024,høst,2,4b,
sette-opp-lineaer-modell-tekst,2024,høst,2,5a,
sette-opp-eksponentiell-modell,2024,høst,2,5b,
sette-opp-lineaer-modell-tekst,2024,høst,2,6a,
sammenligne-lineaere-tilbud,2024,høst,2,6b,
prosent-av-tall,2024,høst,2,7a,
regne-prosentpoeng-og-prosent,2024,høst,2,7b,
formelbruk-begrep,2024,høst,2,8a,
optimere-med-graf,2024,høst,2,8b,
optimere-med-graf,2024,høst,2,8c,
optimere-med-graf,2024,høst,2,8d,
vurdere-gyldighetsomrade-modell,2024,høst,2,8e,
promille-i-praksis,2024,vår,1,1,
tolke-eksponentiell-modell-parametre,2024,vår,1,2a,
sekant-stigningstall-ikke-lineaer,2024,vår,1,2b,
lese-og-tolke-kode-med-lokke,2024,vår,1,2b,
avgjore-proporsjonalitet,2024,vår,1,3,
formelbruk-begrep,2024,vår,1,4a,
losse-formel-for-annen-variabel,2024,vår,1,4b,
vise-at-modell-passer-data,2024,vår,2,1a,
optimere-med-graf,2024,vår,2,1b,
sekant-stigningstall-ikke-lineaer,2024,vår,2,1c,
vekstfaktor-fra-prosent,2024,vår,2,2,
sette-opp-eksponentiell-modell,2024,vår,2,2,
store-tall-praktisk,2024,vår,2,3a,
tall-standardform-om,2024,vår,2,3a,
prosentvis-endring-to-tall,2024,vår,2,3b,
regne-med-fart,2024,vår,2,4a,
regne-med-fart,2024,vår,2,4b,
beskrive-rekursivt-monster-tallfolge,2024,vår,2,5,
bestemme-potensmodell-fra-tabell,2024,vår,2,6a,
sette-opp-eksponentiell-modell,2024,vår,2,6b,
kombinere-to-modeller-sammensatt,2024,vår,2,6c,
prosent-av-tall,2024,vår,2,7,
