node_id,aar,sesong,del,oppgavenummer,url
andregradsulikhet-lose,2026,vår,1,1,
likningssystem-lineaert-og-andregrad,2026,vår,1,2a,
likningssystem-grafisk,2026,vår,1,2b,
lose-tredjegradslikning,2026,vår,1,3,
bestemme-koeffisienter-identitet,2026,vår,1,4,
generalisere-tallfolge-formel-1t,2026,vår,1,5a,
generalisere-tallfolge-formel-1t,2026,vår,1,5b,
trig-definisjon-rettvinklet,2026,vår,1,6,
spesielle-vinkler-eksakte-verdier,2026,vår,1,7a,
bruke-arealsetningen,2026,vår,1,7b,
bruke-cosinussetningen,2026,vår,1,7c,
konstruere-rasjonal-funksjon-fra-egenskaper,2026,vår,1,8a,
konstruere-rasjonal-funksjon-fra-egenskaper,2026,vår,1,8b,
derivert-definisjon,2026,vår,1,9a,
derivasjonsregler-polynom,2026,vår,1,9b,
modellere-praktisk-situasjon-rasjonal-funksjon,2026,vår,2,1a,
derivere-rasjonal-funksjon-digitalt,2026,vår,2,1b,
modellere-praktisk-situasjon-rasjonal-funksjon,2026,vår,2,1c,
bruke-sinussetningen,2026,vår,2,2a,
lose-sammensatt-trigonometriproblem,2026,vår,2,2b,
sammenligne-linear-eksponentiell-modell,2026,vår,2,3a,
sammenligne-linear-eksponentiell-modell,2026,vår,2,3b,
justere-eksponentiell-modell-for-graense,2026,vår,2,3c,
vurdere-modellers-gyldighet,2026,vår,2,3c,
skrive-algoritme-for-figurtall,2026,vår,2,4,
lage-program-fra-algoritme,2026,vår,2,4,
andregradsulikhet-lose,2025,høst,1,1,
finne-nullpunkt-hoyeregrads-polynom,2025,høst,1,2,
vurdere-pastander-rasjonal-funksjon,2025,høst,1,3,
forenkle-potensuttrykk-1t,2025,høst,1,4,
spesielle-vinkler-eksakte-verdier,2025,høst,1,5a,
bruke-arealsetningen,2025,høst,1,5b,
sammenligne-areal-med-supplementvinkel,2025,høst,1,5c,
tolke-while-lokke-program,2025,høst,1,6,
koble-program-til-tallmonster,2025,høst,1,6,
potensregresjon-fra-tabell,2025,høst,2,1a,
stigningstall-sekant,2025,høst,2,1b,
bestemme-momentan-vekstfart-digitalt,2025,høst,2,1c,
prosentvis-endring-ved-potensfunksjon,2025,høst,2,1d,
sette-opp-tekstbasert-likningssystem,2025,høst,2,2,
bruke-sinussetningen,2025,høst,2,3a,
lose-sammensatt-trigonometriproblem,2025,høst,2,3b,
skrive-algoritme-for-figurtall,2025,høst,2,4a,
summere-geometrisk-rekke-med-program,2025,høst,2,4b,
modellere-praktisk-situasjon-rasjonal-funksjon,2025,høst,2,5a,
optimeringsproblem-med-derivasjon,2025,høst,2,5b,
tangentlikning-bestemme,2025,høst,2,6a,
geometrisk-anvendelse-av-tangent,2025,høst,2,6b,
finne-vertikal-asymptote,2025,vår,1,1,
finne-horisontal-asymptote,2025,vår,1,1,
andregradsulikhet-lose,2025,vår,1,2,
bestemme-andregradsfunksjon-fra-egenskaper,2025,vår,1,3,
lose-tredjegradslikning,2025,vår,1,4a,
identifisere-riktig-graf-polynomfunksjon,2025,vår,1,4b,
spesielle-vinkler-eksakte-verdier,2025,vår,1,5a,
bruke-arealsetningen,2025,vår,1,5b,
bruke-cosinussetningen,2025,vår,1,5c,
identitet-begrep,2025,vår,1,6,
tolke-while-lokke-program,2025,vår,1,7,
eksponentiell-regresjon-1t,2025,vår,2,1a,
stigningstall-sekant,2025,vår,2,1b,
eksponentialfunksjon-begrep-1t,2025,vår,2,1c,
sette-opp-tekstbasert-likningssystem,2025,vår,2,2,
bruke-arealsetningen,2025,vår,2,3a,
bruke-cosinussetningen,2025,vår,2,3b,
skrive-algoritme-for-figurtall,2025,vår,2,4a,
lage-program-fra-algoritme,2025,vår,2,4b,
lage-program-fra-algoritme,2025,vår,2,4c,
tolke-formel-flere-variable,2025,vår,2,5a,
modellere-praktisk-situasjon-rasjonal-funksjon,2025,vår,2,5b,
optimeringsproblem-med-derivasjon,2025,vår,2,5c,
konstruere-rasjonal-funksjon-fra-egenskaper,2025,vår,2,6a,
konstruere-rasjonal-funksjon-fra-egenskaper,2025,vår,2,6b,
vise-trigonometrisk-identitet-rettvinklet-trekant,2024,høst,1,1,
finne-ekstremalpunkt-andregradsfunksjon,2024,høst,1,2,
skissere-graf-hoyeregradspolynom,2024,høst,1,3,
enhetssirkelen-begrep,2024,høst,1,4,
resonnere-fortegn-storrelse-trig-enhetssirkel,2024,høst,1,4a,
resonnere-fortegn-storrelse-trig-enhetssirkel,2024,høst,1,4b,
utlede-identitet-fra-arealfigur,2024,høst,1,5,
eksponentialfunksjon-begrep-1t,2024,høst,2,1a,
stigningstall-sekant,2024,høst,2,1b,
bestemme-momentan-vekstfart-eksponentialfunksjon-digitalt,2024,høst,2,1c,
eksponentiell-modell-fra-to-punkter,2024,høst,2,1d,
eksponentiallikning-lose,2024,høst,2,1d,
bruke-arealsetningen,2024,høst,2,2,
konstruere-rasjonal-funksjon-fra-egenskaper,2024,høst,2,3,
program-for-produkt-akkumulator,2024,høst,2,4a,
forklare-antall-nuller-i-fakultet,2024,høst,2,4b,
bestemme-koeffisienter-tredjegradsfunksjon-fra-egenskaper,2024,høst,2,5,
lose-sammensatt-trigonometriproblem,2024,høst,2,6a,
lose-sammensatt-trigonometriproblem,2024,høst,2,6b,
tolke-formel-flere-variable,2024,høst,2,7a,
tolke-formel-flere-variable,2024,høst,2,7b,
tolke-formel-flere-variable,2024,høst,2,7c,
