node_id,aar,sesong,del,oppgavenummer,url
bestemt-integral-med-standardregler,2026,vår,1,1a,
integrasjon-ved-substitusjon,2026,vår,1,1b,
finne-funksjon-fra-derivert-og-punkt,2026,vår,1,2a,
areal-mellom-grafer,2026,vår,1,2b,
pytagoreisk-identitet-og-kvadrant,2026,vår,1,3a,
lose-enkel-trigonometrisk-likning,2026,vår,1,3b,
lese-sinusfunksjon-fra-graf,2026,vår,1,4,
volum-omdreiningslegeme-enkel-funksjon,2026,vår,1,5,
bestemme-sum-aritmetisk-rekke,2026,vår,1,6a,
anvende-uendelig-geometrisk-rekke-praktisk,2026,vår,1,6b,
avgjore-om-punkt-ligger-i-plan,2026,vår,1,7a,
bestemme-normalvektor-med-kryssprodukt,2026,vår,1,7b,
bestemme-sentrum-og-radius-kuleflate,2026,vår,1,7c,
bestemme-parameterframstilling-for-linje,2026,vår,1,7d,
bestemme-konstant-fra-tangeringsbetingelse,2026,vår,1,7e,
vurdere-gyldighet-av-bevis,2026,vår,1,8a,
bevise-pastand-med-vektorregning,2026,vår,1,8b,
tilpasse-sinusmodell-fra-tabell,2026,vår,2,1a,
bestemme-tidsintervall-fra-ulikhet-i-modell,2026,vår,2,1b,
bestemme-raskest-endring-i-modell,2026,vår,2,1c,
beregne-andel-av-totalmengde-med-integral,2026,vår,2,1d,
programmere-rekursiv-folge,2026,vår,2,2a,
avgjore-konvergens-rekursiv-folge,2026,vår,2,2b,
bestemme-posisjon-i-rommet,2026,vår,2,3a,
bestemme-banefart-i-punkt,2026,vår,2,3b,
lose-likning-for-banefart,2026,vår,2,3c,
konstruere-bevegelse-fra-fart-og-retning,2026,vår,2,3d,
konstruere-sinusformet-omdreiningslegeme,2026,vår,2,4,
integrasjon-ved-delvis-integrasjon,2025,høst,1,1,
volum-omdreiningslegeme-enkel-funksjon,2025,høst,1,2,
tolke-fortegn-og-areal-av-integral,2025,høst,1,3a,
beregne-areal-med-fortegnskorreksjon,2025,høst,1,3b,
forklare-flere-losninger-integrallikning,2025,høst,1,3c,
lose-trigonometrisk-likning-ved-omskriving,2025,høst,1,4a,
antall-losninger-avhengig-av-parameter,2025,høst,1,4b,
tolke-areal-under-fartsgraf,2025,høst,1,5a,
vurdere-pastand-om-radianer,2025,høst,1,5b,
bestemme-sum-aritmetisk-rekke,2025,høst,1,6a,
bestemme-konvergensomrade-geometrisk-rekke,2025,høst,1,6b,
anvende-uendelig-geometrisk-rekke-praktisk,2025,høst,1,6c,
bestemme-sentrum-og-radius-kuleflate,2025,høst,1,7a,
bestemme-likning-for-tangentplan,2025,høst,1,7b,
avgjore-om-plan-skjaerer-kuleflate,2025,høst,1,7c,
gjennomfore-induksjonsbevis,2025,høst,1,8,
bestemme-banefart-i-punkt,2025,høst,2,1a,
bestemme-ekstremverdi-av-komponentfunksjon,2025,høst,2,1b,
undersoke-motepunkt-mellom-bevegelige-objekter,2025,høst,2,1c,
tilpasse-sinusmodell-fra-tabell,2025,høst,2,2a,
bestemme-tidsintervall-fra-ulikhet-i-modell,2025,høst,2,2b,
beregne-effektivverdi-med-integral,2025,høst,2,2c,
modellere-gjentatt-eksponering-med-delvis-utskillelse,2025,høst,2,3a,
bestemme-parameter-fra-krav-til-grenseverdi-i-modell,2025,høst,2,3b,
tolke-python-kode-for-riemannsum,2025,høst,2,4a,
skrive-program-for-mer-noyaktig-numerisk-integrasjon,2025,høst,2,4b,
bestemt-integral-med-standardregler,2024,vår,1,1a,
beregne-areal-med-fortegnskorreksjon,2024,vår,1,1b,
integrasjon-ved-substitusjon,2024,vår,1,2,
tolke-kode-for-sum-av-tallfolge,2024,vår,1,3a,
tolke-kode-for-sum-av-tallfolge,2024,vår,1,3b,
bestemme-areal-av-trekant-med-kryssprodukt,2024,vår,1,4a,
avstand-punkt-til-linje-i-rommet,2024,vår,1,4b,
bestemme-parameterframstilling-for-linje,2024,vår,1,4c,
bestemme-linje-parallell-med-plan-som-skjaerer-akse,2024,vår,1,4d,
lose-enkel-trigonometrisk-likning,2024,vår,1,5a,
bestemme-parametre-fra-trigonometrisk-formel,2024,vår,1,5b,
bestemme-banefart-i-punkt,2024,vår,2,1a,
bestemme-posisjon-i-rommet,2024,vår,2,1b,
bestemme-ekstremverdi-av-komponentfunksjon,2024,vår,2,1c,
bestemme-banefart-i-punkt,2024,vår,2,1c,
volum-omdreiningslegeme-enkel-funksjon,2024,vår,2,2,
integrasjon-ved-delvis-integrasjon,2024,høst,1,1a,
bestemme-ukjent-grense-i-integrallikning,2024,høst,1,1b,
tolke-losning-av-integrallikning-i-kontekst,2024,høst,1,1c,
bestemme-sum-aritmetisk-rekke,2024,høst,1,2a,
bestemme-kvotient-fra-sum-og-forsteledd,2024,høst,1,2b,
periodisk-desimaltall-til-brok-med-geometrisk-rekke,2024,høst,1,2c,
bestemme-areal-av-trekant-med-kryssprodukt,2024,høst,1,3a,
bestemme-punkt-pa-linje-fra-avstandsbetingelse,2024,høst,1,3b,
regne-om-mellom-grader-og-radianer,2024,høst,1,4a,
pytagoreisk-identitet-og-kvadrant,2024,høst,1,4b,
bestemme-parametre-fra-trigonometrisk-formel,2024,høst,1,5a,
lose-enkel-trigonometrisk-likning,2024,høst,1,5b,
bestemme-posisjon-i-rommet,2024,høst,2,1a,
bestemme-banefart-i-punkt,2024,høst,2,1b,
lose-likning-for-banefart,2024,høst,2,1c,
vurdere-pastand-om-plan-fra-tre-punkt,2024,høst,2,2a,
vurdere-pastand-om-sum-av-geometrisk-rekke,2024,høst,2,2b,
vurdere-pastand-om-areal-mellom-grafer-med-parameter,2024,høst,2,2c,
volum-omdreiningslegeme-enkel-funksjon,2024,høst,2,3,
bestemme-tidspunkt-fra-krav-til-gjennomsnittsverdi,2024,høst,2,4a,
bestemme-raskest-endring-i-modell,2024,høst,2,4b,
bestemme-ukjent-grense-i-integrallikning,2024,høst,2,4c,
bestemme-rekursiv-formel-fra-tallfolge,2024,høst,2,5a,
programmere-sum-av-rekursivt-definert-folge,2024,høst,2,5b,
bestemme-volum-av-torus-ved-omdreining,2024,høst,2,6,
bestemt-integral-med-standardregler,2025,vår,1,1a,
integrasjon-ved-delbroksoppspalting,2025,vår,1,1b,
finne-funksjon-fra-derivert-og-areal,2025,vår,1,2,
tolke-kode-for-tallfolge,2025,vår,1,3a,
tolke-kode-for-sum-av-tallfolge,2025,vår,1,3b,
gjennomfore-induksjonsbevis,2025,vår,1,3c,
bestemme-parametre-fra-trigonometrisk-formel,2025,vår,1,4a,
lose-enkel-trigonometrisk-likning,2025,vår,1,4b,
skrive-om-asinx-bcosx-til-amplitude-fase-form,2025,vår,1,4c,
lose-trigonometrisk-likning-etter-omskriving-til-amplitude-fase-form,2025,vår,1,4c,
avgjore-om-vinkel-er-stump-med-skalarprodukt,2025,vår,1,5a,
bestemme-areal-av-trekant-med-kryssprodukt,2025,vår,1,5b,
avgjore-om-linje-skjaerer-avgrenset-planfigur,2025,vår,1,5c,
tolke-kode-for-finmasket-tilnaerming-til-integral,2025,vår,1,6,
bestemme-vinkel-fra-buelengde-og-radius,2025,vår,1,7a,
pytagoreisk-identitet-og-kvadrant,2025,vår,1,7b,
bestemme-posisjon-i-rommet,2025,vår,2,1a,
bestemme-banefart-i-punkt,2025,vår,2,1b,
bruke-antakelser-til-a-tolke-parameterframstilling-praktisk,2025,vår,2,1c,
beregne-arlig-sparebelop-for-sparemal,2025,vår,2,2a,
bestemme-rentesats-fra-nedbetalingsplan,2025,vår,2,2b,
finne-tidspunkt-med-null-akselerasjon-og-tolke,2025,vår,2,3a,
beregne-tilbakelagt-strekning-med-integral,2025,vår,2,3b,
beregne-gjennomsnittsverdi-med-integral,2025,vår,2,3c,
utlede-rekkesum-ved-a-integrere-geometrisk-rekke-ledd-for-ledd,2025,vår,2,4,
