node_id,aar,sesong,del,oppgavenummer,url
derivere-potens-og-sum,2026,vår,1,1a,
derivere-sammensatt-funksjon,2026,vår,1,1b,
finne-nullpunkt-eksponentialuttrykk,2026,vår,1,2a,
derivere-eksponential-og-logaritme,2026,vår,1,2b,
bestemme-topp-bunnpunkt,2026,vår,1,2c,
sammenligne-storrelse-potenser-logaritmer,2026,vår,1,3a,
forenkle-logaritmeuttrykk,2026,vår,1,3b,
finne-grenseverdi-uendelig,2026,vår,1,4,
finne-grenseverdi-null-null,2026,vår,1,5a,
telle-uordnet-utvalg-nCr,2026,vår,1,5b,
lese-vekstfart-fra-graf,2026,vår,1,6a,
lese-vekstfart-fra-graf,2026,vår,1,6b,
sannsynlighet-produktsetning-uavhengige,2026,vår,1,7a,
venn-komplement-sannsynlighet,2026,vår,1,7b,
telle-gruppering-i-delmengder,2026,vår,1,8a,
betinget-sannsynlighet-flertrinn,2026,vår,1,8b,
telle-gruppering-i-delmengder,2026,vår,1,8c,
potensmodell-regresjon,2026,vår,2,1a,
tolke-derivert-praktisk,2026,vår,2,1b,
potensmodell-regresjon,2026,vår,2,1c,
beregne-hypergeometrisk-sannsynlighet,2026,vår,2,2a,
beregne-hypergeometrisk-sannsynlighet,2026,vår,2,2b,
optimere-areal-under-kurve,2026,vår,2,3a,
optimere-areal-under-kurve,2026,vår,2,3b,
modellere-diskontinuerlig-funksjon-praktisk,2026,vår,2,4a,
modellere-diskontinuerlig-funksjon-praktisk,2026,vår,2,4b,
sannsynlighet-produktsetning-uavhengige,2026,vår,2,5a,
simulere-sannsynlighet-digitalt,2026,vår,2,5b,
derivere-potens-og-sum,2025,høst,1,1a,
derivere-produkt-og-kvotient,2025,høst,1,1b,
derivere-eksponential-og-logaritme,2025,høst,1,1b,
lose-logaritmelikning-andregrad,2025,høst,1,2a,
lose-eksponentiallikning,2025,høst,1,2b,
finne-grenseverdi-null-null,2025,høst,1,3a,
bestemme-parameter-grenseverdi-eksisterer,2025,høst,1,3b,
telle-ordnet-utvalg-restriksjoner,2025,høst,1,4a,
telle-med-komplement,2025,høst,1,4b,
bestemme-topp-bunnpunkt,2025,høst,1,5,
derivere-produkt-og-kvotient,2025,høst,1,5,
lese-tolke-python-kode-sannsynlighet,2025,høst,1,6a,
sannsynlighet-produktsetning-uavhengige,2025,høst,1,6b,
beregne-binomisk-sannsynlighet,2025,høst,1,6c,
eksponentialmodell-regresjon,2025,høst,2,1a,
vurdere-modell-gyldighetsomrade,2025,høst,2,1a,
sammenligne-momentan-gjennomsnittlig-vekst-modell,2025,høst,2,1b,
sammenligne-momentan-gjennomsnittlig-vekst-modell,2025,høst,2,1c,
avgjore-kontinuitet-punkt,2025,høst,2,2a,
bestemme-parameter-kontinuitet,2025,høst,2,2b,
sannsynlighet-med-kombinatorikk,2025,høst,2,3a,
sannsynlighet-med-kombinatorikk,2025,høst,2,3b,
sannsynlighet-produktsetning-uavhengige,2025,høst,2,3c,
optimere-okonomisk-modell,2025,høst,2,4a,
optimere-okonomisk-modell,2025,høst,2,4b,
bruke-logaritme-praktisk-modell,2025,høst,2,5a,
bruke-logaritme-praktisk-modell,2025,høst,2,5b,
lese-tolke-python-kode-sannsynlighet,2025,høst,2,6a,
simulere-sannsynlighet-digitalt,2025,høst,2,6b,
