id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
potensregler-begrep,begrep,Potenser og logaritmer,Potensregler,"Eleven kjenner potensreglene for produkt og kvotient av potenser med samme grunntall, potens av en potens, negativ eksponent, potens med eksponent 0, og sammenhengen mellom brøkeksponent og rot (a^(1/n) er n-te rot av a).",,del1,
logaritme-begrep,begrep,Potenser og logaritmer,Logaritme,"Eleven vet hva en logaritme er (log_a(x) er eksponenten a må opphøyes i for å gi x), kjenner igjen lg (grunntall 10) og ln (grunntall e), og forstår logaritme som den omvendte operasjonen av potensopphøyning.",potensregler-begrep,del1,
logaritmeregler-begrep,begrep,Potenser og logaritmer,Logaritmeregler,"Eleven kjenner regnereglene for logaritmer: lg(a·b) = lg a + lg b, lg(a/b) = lg a − lg b, og lg(a^n) = n·lg a − og at tilsvarende regler gjelder for ln.",logaritme-begrep,del1,
forenkle-logaritmeuttrykk,ferdighet,Potenser og logaritmer,Forenkle sammensatte logaritmeuttrykk,"Eleven kan forenkle et uttrykk med flere logaritmeledd til ett enkelt logaritmeuttrykk eller et tall, ved å bruke logaritmereglene for produkt, kvotient og potens sammen, for hånd.",logaritmeregler-begrep,del1,"Gi eleven et sammensatt logaritmeuttrykk med flere ledd (f.eks. lg(ab) − lg(a/b) + lg(100b³)) og be dem forenkle det til ett enkelt uttrykk eller et rent tall, for hånd uten kalkulator. Krev at eleven viser hvilken logaritmeregel som brukes i hvert steg."
sammenligne-storrelse-potenser-logaritmer,ferdighet,Potenser og logaritmer,Sammenligne størrelsen på potens- og logaritmeuttrykk,"Eleven kan regne ut eller anslå verdien av uttrykk skrevet som potenser, røtter og logaritmer, og sortere dem etter størrelse, for hånd uten kalkulator.",potensregler-begrep;logaritme-begrep,del1,"Gi eleven fire til fem uttrykk av ulik type (f.eks. log_2(8), e^(3ln1), lg 7, 3^(3/4)) og be dem sortere uttrykkene i stigende rekkefølge, med begrunnelse for hvert uttrykk, uten kalkulator."
lose-eksponentiallikning,ferdighet,Potenser og logaritmer,Løse en eksponentiallikning for grunntallet eller eksponenten,"Eleven kan løse en likning der den ukjente står som grunntall eller eksponent i en potens (f.eks. log_a(1/64) = −3), ved å skrive om mellom potens- og logaritmeform.",potensregler-begrep;logaritme-begrep,del1,"Gi eleven en likning der den ukjente er grunntallet i en potens uttrykt som en logaritmelikning (f.eks. log_a(1/64) = −3), og be dem løse for den ukjente ved å skrive om til potensform, for hånd."
lose-logaritmelikning-andregrad,ferdighet,Potenser og logaritmer,Løse en andregradslikning i en logaritme,"Eleven kan løse en likning som er andregradsformet i lg x eller ln x (f.eks. (lg x)² − 2lg x = 8) ved å innføre en hjelpevariabel, løse andregradslikningen, og deretter regne tilbake til x.",logaritme-begrep;logaritmeregler-begrep,del1,"Gi eleven en likning som er andregradsformet i lg x eller ln x (f.eks. (lg x)² − 2lg x = 8), og be dem løse den for hånd ved å innføre en hjelpevariabel u = lg x, løse andregradslikningen i u, og til slutt regne tilbake til x. Sjekk at eleven vurderer om begge løsningene for u gir gyldige x-verdier."
finne-nullpunkt-eksponentialuttrykk,ferdighet,Potenser og logaritmer,Finne nullpunkt til et faktorisert eksponentialuttrykk,"Eleven kan finne nullpunktene til en funksjon på formen f(x) = e^x·(a − e^x) ved å faktorisere og bruke at et produkt er null når minst én faktor er null, og løse den gjenstående eksponentiallikningen.",lose-eksponentiallikning,del1,Gi eleven en funksjon på formen f(x) = e^x·(a − e^x) (eller lignende faktorisert eksponentialuttrykk) og be dem finne eventuelle nullpunkt for hånd. Pass på at eleven begrunner hvorfor e^x aldri kan være null.
bruke-logaritme-praktisk-modell,ferdighet,Potenser og logaritmer,Bruke en logaritmisk formel i en praktisk modell,"Eleven kan sette inn i og løse en praktisk formel som inneholder en logaritme (f.eks. en sammenheng mellom en konsentrasjon og en opplevd intensitet), både for å regne ut en verdi direkte og for å løse for den ukjente størrelsen inni logaritmen.",logaritmeregler-begrep;lose-logaritmelikning-andregrad,del2,"Gi eleven en praktisk formel med en logaritme (f.eks. I = 1,4·lg(C) − 0,3) og en tabell som knytter verdien av den avhengige variabelen til en kategorisk vurdering, og be dem både regne ut verdien for en gitt måling og løse for hvilken måling som kreves for en gitt kategori."
grenseverdi-begrep,begrep,Grenseverdier og kontinuitet,Grenseverdi,Eleven vet hva en grenseverdi er − verdien en funksjon nærmer seg når x nærmer seg en gitt verdi (eller uendelig) − og forstår at grenseverdien i et punkt ikke nødvendigvis er lik funksjonsverdien i punktet.,,del1,
