id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
samfunnsfaglig-metode,begrep,Samfunnsfaglig metode og kildekritikk,Samfunnsfaglig metode,"Eleven vet hva som kjennetegner en samfunnsfaglig metode (for eksempel spørreundersøkelse, intervju eller statistikk), og hvordan den skiller seg fra en naturvitenskapelig metode.",,,
kilde,begrep,Samfunnsfaglig metode og kildekritikk,Kilde,"Eleven vet hva en kilde er i samfunnsfaglig sammenheng, og kan gi eksempler på ulike kildetyper: primær-/sekundærkilde, muntlig/skriftlig, digital.",,,
kildekritikk,begrep,Samfunnsfaglig metode og kildekritikk,Kildekritikk,"Eleven vet hva kildekritikk innebærer, og kjenner sentrale kriterier for å vurdere en kildes pålitelighet, som avsender, hensikt, dato og kontekst.",kilde,,
ideologisk-stasted,begrep,Samfunnsfaglig metode og kildekritikk,Ideologisk ståsted,"Eleven vet hva et ideologisk ståsted er, og kan gi eksempler på hvordan ulike ståsteder kan prege hvordan en sak fremstilles.",,,
mening-verdi,begrep,Samfunnsfaglig metode og kildekritikk,Mening og verdi,"Eleven vet forskjellen på en mening og en verdi, og kan gi eksempler på hver.",,,
digitalt-spor,begrep,Samfunnsfaglig metode og kildekritikk,Digitalt spor,"Eleven vet hva et digitalt spor er, og kan gi eksempler på hvordan egne spor oppstår i sosiale medier, nettbutikker og søkemotorer.",,,
personopplysning,begrep,Samfunnsfaglig metode og kildekritikk,Personopplysning,"Eleven vet hva en personopplysning er, og skiller mellom vanlige og særlig sensitive opplysninger, som helse, religion og seksuell orientering.",digitalt-spor,,
vurdere-kildepalitelighet,ferdighet,Samfunnsfaglig metode og kildekritikk,Vurdere en kildes pålitelighet,"Eleven kan analysere en gitt kilde og vurdere hvor pålitelig den er, ved å bruke kildekritiske kriterier.",kildekritikk;kilde,,
analysere-argumentasjon,ferdighet,Samfunnsfaglig metode og kildekritikk,Analysere argumentasjon i en debatt,"Eleven kan identifisere en påstand og begrunnelsene bak den i et debattinnlegg, og forklare hvordan avsenderens interesser eller ideologiske ståsted kan ha påvirket argumentasjonen og valget av kilder.",ideologisk-stasted;mening-verdi;kildekritikk,,
analysere-digitalt-spor-bruk,ferdighet,Samfunnsfaglig metode og kildekritikk,Forklare hvordan digitale spor kan brukes,"Eleven kan forklare hvordan bedrifter og andre aktører kan bruke data om digitale spor og personopplysninger, og gi eksempler på både nyttig og problematisk bruk.",personopplysning,,
utforske-dagsaktuelt-tema,ferdighet,Samfunnsfaglig metode og kildekritikk,Utforske og presentere et dagsaktuelt tema,"Eleven kan utforske en dagsaktuell sak eller debatt ved å bruke samfunnsfaglige metoder, kilder og digitale ressurser, presentere funnene, og argumentere for egne og andres meninger og verdier.",vurdere-kildepalitelighet;analysere-argumentasjon,,
drofte-digitale-spor,ferdighet,Samfunnsfaglig metode og kildekritikk,Drøfte bruk og misbruk av digitale spor,"Eleven kan drøfte hvordan data og personopplysninger om en selv kan brukes eller misbrukes, og reflektere over hvem som har tilgang til egne digitale spor.",analysere-digitalt-spor-bruk,,
demokrati,begrep,Demokrati og medborgerskap,Demokrati,"Eleven vet hva demokrati er, og kjenner sentrale demokratiske prinsipper som folkestyre, rettsstat og flertallsstyre med mindretallsvern.",,,
medborgerskap,begrep,Demokrati og medborgerskap,Medborgerskap,"Eleven vet hva det vil si å være medborger i et samfunn, og hvilke rettigheter og plikter det innebærer.",demokrati,,
statsborgerskap,begrep,Demokrati og medborgerskap,Statsborgerskap,Eleven vet forskjellen på medborgerskap og formelt statsborgerskap.,medborgerskap,,
ytringsfrihet,begrep,Demokrati og medborgerskap,Ytringsfrihet,"Eleven vet hva ytringsfrihet er, og hvorfor den regnes som en grunnleggende demokratisk rettighet.",demokrati,,
pressefrihet,begrep,Demokrati og medborgerskap,Pressefrihet,"Eleven vet hva pressefrihet er, og hvorfor en fri presse regnes som viktig for et demokrati.",ytringsfrihet,,
hatytring,begrep,Demokrati og medborgerskap,Hatefull ytring,"Eleven vet hva som kjennetegner en hatefull ytring, og hvordan det skiller seg fra ytringer folk flest er uenige i.",ytringsfrihet,,
rasisme-diskriminering,begrep,Demokrati og medborgerskap,Rasisme og diskriminering,"Eleven vet hva rasisme og diskriminering er, og kan gi eksempler på hvordan det kommer til uttrykk i samfunnet.",,,
sammenligne-politiske-system,ferdighet,Demokrati og medborgerskap,Sammenligne politiske systemer,Eleven kan sammenligne hvordan det politiske systemet i Norge er organisert med systemet i minst ett annet land eller område.,demokrati;medborgerskap,,
forklare-ytringsfrihetens-grenser,ferdighet,Demokrati og medborgerskap,Forklare grensene for ytringsfriheten,"Eleven kan forklare hvor grensene for ytringsfriheten går i norsk lov, og hvorfor hatefulle ytringer ikke regnes som beskyttet av ytringsfriheten.",ytringsfrihet;hatytring,,
analysere-arsaker-rasisme,ferdighet,Demokrati og medborgerskap,Analysere årsaker til rasisme og diskriminering,"Eleven kan analysere mulige årsaker til rasisme og diskriminering, og vurdere tiltak som kan forebygge det.",rasisme-diskriminering,,
drofte-medborgerskap,ferdighet,Demokrati og medborgerskap,Drøfte hva det vil si å være medborger,"Eleven kan reflektere over hva det innebærer å være medborger i dagens samfunn, og sammenligne dette med hvordan politiske system er organisert i andre land eller områder.",sammenligne-politiske-system,,
drofte-ytringsfrihetens-grenser,ferdighet,Demokrati og medborgerskap,Drøfte grensene for ytringsfriheten,"Eleven kan vurdere årsaker til og tiltak mot rasisme, diskriminering og hatefulle ytringer, og drøfte hvor grensene for ytringsfriheten bør gå.",forklare-ytringsfrihetens-grenser;analysere-arsaker-rasisme,,
storting,begrep,Politikk og makt,Stortinget,"Eleven vet hva Stortingets viktigste oppgaver er i det norske politiske systemet, som å vedta lover, bevilge penger og kontrollere regjeringen.",,,
